from_experiment,to_experiment,metric,baseline,candidate,delta,relative_change_percent,improvement,direction
A,B,recall_at_5,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,mrr,0.9725,0.9458333333333333,-0.026666666666666727,-2.7420736932305116,-0.026666666666666727,higher_is_better
A,B,answer_correctness,0.8103164012269913,0.7911925405067278,-0.019123860720263508,-2.360048579950488,-0.019123860720263508,higher_is_better
A,B,faithfulness,0.8622448979591837,0.880701754385965,0.0184568564267813,2.1405584968338074,0.0184568564267813,higher_is_better
A,B,citation_precision,0.0,0.0,0.0,,0.0,higher_is_better
A,B,hallucination,0.14,0.12,-0.020000000000000018,-14.285714285714295,0.020000000000000018,lower_is_better
A,B,total_latency_ms,1194.7301300000001,1207.4839299999999,12.753799999999728,1.0675046757211795,-12.753799999999728,lower_is_better
A,B,recall_at_3,0.99,0.99,0.0,0.0,0.0,higher_is_better
A,B,recall_at_10,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,precision_at_5,0.2,0.2,0.0,0.0,0.0,higher_is_better
A,B,ndcg_at_10,0.9795439557235922,0.9597811458664505,-0.01976280985714174,-2.017552121236141,-0.01976280985714174,higher_is_better
A,B,citation_coverage,0.0,0.0,0.0,,0.0,higher_is_better
A,B,citation_recall,0.0,0.0,0.0,,0.0,higher_is_better
A,B,refusal_correct,0.98,0.95,-0.030000000000000027,-3.061224489795921,-0.030000000000000027,higher_is_better
A,B,unsupported_claim_rate,0.1377551020408163,0.1192982456140351,-0.018456856426781215,-13.398310591293031,0.018456856426781215,lower_is_better
A,B,retrieval_latency_ms,472.54612999999995,497.24963,24.703500000000076,5.227743585583926,-24.703500000000076,lower_is_better
A,B,estimated_cost_usd,0.0092488,0.0092308,-1.799999999999892e-05,-0.19461984257416012,1.799999999999892e-05,lower_is_better
B,C,recall_at_5,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,mrr,0.9458333333333333,0.9725,0.026666666666666727,2.8193832599119006,0.026666666666666727,higher_is_better
B,C,answer_correctness,0.7911925405067278,0.8139467404616866,0.022754199954958754,2.875937118970507,0.022754199954958754,higher_is_better
B,C,faithfulness,0.880701754385965,0.872852233676976,-0.007849520708989033,-0.8912802398652886,-0.007849520708989033,higher_is_better
B,C,citation_precision,0.0,0.0,0.0,,0.0,higher_is_better
B,C,hallucination,0.12,0.14,0.020000000000000018,16.666666666666682,-0.020000000000000018,lower_is_better
B,C,total_latency_ms,1207.4839299999999,2025.3247700000002,817.8408400000003,67.7309916662825,-817.8408400000003,lower_is_better
B,C,recall_at_3,0.99,0.99,0.0,0.0,0.0,higher_is_better
B,C,recall_at_10,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,precision_at_5,0.2,0.2,0.0,0.0,0.0,higher_is_better
B,C,ndcg_at_10,0.9597811458664505,0.9795439557235922,0.01976280985714174,2.059095445066354,0.01976280985714174,higher_is_better
B,C,citation_coverage,0.0,0.0,0.0,,0.0,higher_is_better
B,C,citation_recall,0.0,0.0,0.0,,0.0,higher_is_better
B,C,refusal_correct,0.95,0.97,0.020000000000000018,2.105263157894739,0.020000000000000018,higher_is_better
B,C,unsupported_claim_rate,0.1192982456140351,0.12714776632302405,0.00784952070898895,6.579745300181913,-0.00784952070898895,lower_is_better
B,C,retrieval_latency_ms,497.24963,1324.66776,827.41813,166.3989433234973,-827.41813,lower_is_better
B,C,estimated_cost_usd,0.0092308,0.0092458,1.4999999999999389e-05,0.16249945833513224,-1.4999999999999389e-05,lower_is_better
C,D,recall_at_5,1.0,0.99,-0.010000000000000009,-1.0000000000000009,-0.010000000000000009,higher_is_better
C,D,mrr,0.9725,0.9625,-0.010000000000000009,-1.0282776349614406,-0.010000000000000009,higher_is_better
C,D,answer_correctness,0.8139467404616866,0.6952770589219867,-0.11866968153969992,-14.579538886338945,-0.11866968153969992,higher_is_better
C,D,faithfulness,0.872852233676976,0.9451476793248946,0.07229544564791868,8.2826671982458,0.07229544564791868,higher_is_better
C,D,citation_precision,0.0,0.797979797979798,0.797979797979798,,0.797979797979798,higher_is_better
C,D,hallucination,0.14,0.050505050505050504,-0.08949494949494952,-63.924963924963926,0.08949494949494952,lower_is_better
C,D,total_latency_ms,2025.3247700000002,4883.195925,2857.871155,141.1068090082165,-2857.871155,lower_is_better
C,D,recall_at_3,0.99,0.98,-0.010000000000000009,-1.010101010101011,-0.010000000000000009,higher_is_better
C,D,recall_at_10,1.0,0.99,-0.010000000000000009,-1.0000000000000009,-0.010000000000000009,higher_is_better
C,D,precision_at_5,0.2,0.198,-0.0020000000000000018,-1.0000000000000009,-0.0020000000000000018,higher_is_better
C,D,ndcg_at_10,0.9795439557235922,0.9695439557235922,-0.010000000000000009,-1.0208832326072572,-0.010000000000000009,higher_is_better
C,D,citation_coverage,0.0,0.9556962025316456,0.9556962025316456,,0.9556962025316456,higher_is_better
C,D,citation_recall,0.0,0.78,0.78,,0.78,higher_is_better
C,D,refusal_correct,0.97,0.8,-0.16999999999999993,-17.525773195876283,-0.16999999999999993,higher_is_better
C,D,unsupported_claim_rate,0.12714776632302405,0.05485232067510548,-0.07229544564791857,-56.85939103660622,0.07229544564791857,lower_is_better
C,D,retrieval_latency_ms,1324.66776,1044.3915454545456,-280.2762145454544,-21.158227218080285,280.2762145454544,lower_is_better
C,D,estimated_cost_usd,0.0092458,0.0090396,-0.00020620000000000013,-2.230201821367541,0.00020620000000000013,lower_is_better
